Round: 1 -- workload: SimulationWorkspace/workloads/workload-low.json
###############################################
############   Run Forrest Run!!   ############
###############################################
Start Time: 20:57:45.297983 - 26/08/2026
Processed request 1, latency 13, pending requests 0 

Processed request 7, latency 16, pending requests 0 

Processed request 12, latency 35, pending requests 0 

Processed request 18, latency 36, pending requests 0 

Processed request 22, latency 34, pending requests 0 

Processed request 24, latency 38, pending requests 0 

Processed request 30, latency 24, pending requests 0 

Processed request 34, latency 39, pending requests 0 

Processed request 40, latency 34, pending requests 0 

Processed request 46, latency 15, pending requests 0 

Processed request 54, latency 32, pending requests 0 

Processed request 56, latency 17, pending requests 0 

Processed request 64, latency 20, pending requests 0 

Processed request 71, latency 32, pending requests 0 

Processed request 77, latency 31, pending requests 0 

Processed request 84, latency 33, pending requests 0 

Processed request 88, latency 36, pending requests 0 

Processed request 91, latency 17, pending requests 0 

Processed request 96, latency 16, pending requests 0 

Processed request 100, latency 15, pending requests 1 

Processed request 104, latency 22, pending requests 0 

Processed request 109, latency 32, pending requests 0 

Processed request 114, latency 14, pending requests 0 

Processed request 120, latency 40, pending requests 0 

Processed request 126, latency 29, pending requests 1 

Processed request 132, latency 23, pending requests 0 

Processed request 138, latency 18, pending requests 0 

Processed request 145, latency 37, pending requests 1 

Processed request 147, latency 38, pending requests 0 

Processed request 155, latency 33, pending requests 0 

Processed request 159, latency 21, pending requests 0 

Processed request 166, latency 25, pending requests 1 

Processed request 170, latency 31, pending requests 0 

Processed request 175, latency 34, pending requests 1 

Processed request 182, latency 37, pending requests 1 

Processed request 191, latency 42, pending requests 0 

Processed request 193, latency 36, pending requests 0 

Processed request 199, latency 35, pending requests 0 

Processed request 205, latency 24, pending requests 0 

Processed request 215, latency 39, pending requests 0 

Processed request 220, latency 16, pending requests 0 

Processed request 222, latency 32, pending requests 0 

Processed request 230, latency 13, pending requests 0 

Processed request 238, latency 31, pending requests 0 

Processed request 244, latency 18, pending requests 0 

Processed request 249, latency 33, pending requests 0 

Processed request 255, latency 28, pending requests 0 

Processed request 261, latency 15, pending requests 0 

Processed request 268, latency 39, pending requests 0 

Processed request 279, latency 35, pending requests 1 

Processed request 285, latency 36, pending requests 0 

Processed request 293, latency 12, pending requests 0 

Processed request 298, latency 15, pending requests 0 

Processed request 303, latency 37, pending requests 1 

Processed request 308, latency 15, pending requests 0 

Processed request 311, latency 33, pending requests 0 

Processed request 321, latency 40, pending requests 0 

Processed request 327, latency 14, pending requests 0 

Processed request 330, latency 28, pending requests 0 

Processed request 338, latency 41, pending requests 0 

Processed request 343, latency 17, pending requests 0 

Processed request 348, latency 27, pending requests 1 

Processed request 354, latency 33, pending requests 0 

Processed request 364, latency 14, pending requests 0 

Processed request 371, latency 23, pending requests 0 

Processed request 380, latency 14, pending requests 0 

Processed request 385, latency 35, pending requests 1 

Processed request 396, latency 33, pending requests 1 

Processed request 401, latency 13, pending requests 0 

Processed request 405, latency 23, pending requests 0 

Processed request 410, latency 33, pending requests 0 

Processed request 416, latency 16, pending requests 0 

Processed request 420, latency 13, pending requests 0 

Processed request 427, latency 15, pending requests 0 

Processed request 433, latency 14, pending requests 0 

Processed request 441, latency 12, pending requests 0 

Processed request 447, latency 22, pending requests 1 

Processed request 453, latency 35, pending requests 0 

Processed request 459, latency 15, pending requests 0 

Processed request 466, latency 81, pending requests 1 

Processed request 474, latency 15, pending requests 0 

Processed request 478, latency 39, pending requests 1 

Processed request 479, latency 25, pending requests 0 

Processed request 488, latency 20, pending requests 0 

Processed request 498, latency 15, pending requests 0 

Processed request 502, latency 29, pending requests 0 

Processed request 505, latency 19, pending requests 0 

Processed request 513, latency 29, pending requests 0 

Processed request 516, latency 36, pending requests 0 

Processed request 524, latency 33, pending requests 0 

Processed request 528, latency 25, pending requests 0 

Processed request 536, latency 14, pending requests 0 

Processed request 541, latency 37, pending requests 0 

Processed request 548, latency 37, pending requests 0 

Processed request 559, latency 31, pending requests 0 

Processed request 564, latency 32, pending requests 0 

Processed request 569, latency 13, pending requests 0 

Processed request 572, latency 25, pending requests 0 

Processed request 578, latency 19, pending requests 1 

Processed request 584, latency 17, pending requests 0 

Processed request 589, latency 29, pending requests 0 

Processed request 594, latency 42, pending requests 0 

Processed request 601, latency 30, pending requests 0 

Processed request 608, latency 39, pending requests 1 

Processed request 618, latency 17, pending requests 0 

Processed request 626, latency 24, pending requests 0 

Processed request 636, latency 39, pending requests 1 

Processed request 639, latency 13, pending requests 0 

Processed request 646, latency 38, pending requests 0 

Processed request 657, latency 47, pending requests 1 

Processed request 664, latency 24, pending requests 0 

Processed request 669, latency 23, pending requests 0 

Processed request 679, latency 12, pending requests 0 

Processed request 682, latency 35, pending requests 0 

Processed request 687, latency 19, pending requests 0 

Processed request 693, latency 34, pending requests 0 

Processed request 698, latency 12, pending requests 0 

Processed request 702, latency 30, pending requests 0 

Processed request 706, latency 45, pending requests 0 

