Round: 1 -- workload: SimulationWorkspace/workloads/workload-mid.json
###############################################
############   Run Forrest Run!!   ############
###############################################
Start Time: 21:22:19.014664 - 26/08/2026
Processed request 1, latency 18, pending requests 0 

Processed request 22, latency 40, pending requests 1 

Processed request 39, latency 27, pending requests 0 

Processed request 58, latency 32, pending requests 0 

Processed request 74, latency 14, pending requests 1 

Processed request 91, latency 35, pending requests 2 

Processed request 111, latency 14, pending requests 0 

Processed request 133, latency 32, pending requests 0 

Processed request 152, latency 22, pending requests 1 

Processed request 171, latency 38, pending requests 0 

Processed request 195, latency 26, pending requests 0 

Processed request 214, latency 13, pending requests 0 

Processed request 224, latency 39, pending requests 0 

Processed request 241, latency 40, pending requests 0 

Processed request 257, latency 35, pending requests 0 

Processed request 277, latency 14, pending requests 0 

Processed request 297, latency 26, pending requests 0 

Processed request 318, latency 29, pending requests 1 

Processed request 348, latency 35, pending requests 2 

Processed request 371, latency 35, pending requests 1 

Processed request 388, latency 22, pending requests 0 

Processed request 408, latency 14, pending requests 1 

Processed request 425, latency 30, pending requests 0 

Processed request 450, latency 16, pending requests 4 

Processed request 465, latency 13, pending requests 0 

Processed request 490, latency 13, pending requests 1 

Processed request 511, latency 24, pending requests 0 

Processed request 528, latency 32, pending requests 0 

Processed request 546, latency 34, pending requests 1 

Processed request 568, latency 21, pending requests 2 

Processed request 590, latency 37, pending requests 2 

Processed request 600, latency 32, pending requests 0 

Processed request 619, latency 34, pending requests 1 

Processed request 647, latency 25, pending requests 0 

Processed request 661, latency 19, pending requests 1 

Processed request 682, latency 12, pending requests 0 

Processed request 702, latency 18, pending requests 3 

Processed request 724, latency 17, pending requests 0 

Processed request 751, latency 11, pending requests 0 

Processed request 765, latency 30, pending requests 0 

Processed request 781, latency 18, pending requests 2 

Processed request 805, latency 19, pending requests 0 

Processed request 829, latency 13, pending requests 0 

Processed request 851, latency 16, pending requests 0 

Processed request 872, latency 68, pending requests 4 

Processed request 891, latency 19, pending requests 1 

Processed request 904, latency 15, pending requests 1 

Processed request 922, latency 13, pending requests 0 

Processed request 946, latency 36, pending requests 1 

Processed request 961, latency 20, pending requests 0 

Processed request 979, latency 14, pending requests 0 

Processed request 995, latency 16, pending requests 0 

Processed request 1023, latency 28, pending requests 3 

Processed request 1043, latency 32, pending requests 0 

Processed request 1064, latency 17, pending requests 0 

Processed request 1087, latency 33, pending requests 0 

Processed request 1110, latency 33, pending requests 0 

Processed request 1138, latency 26, pending requests 0 

Processed request 1161, latency 17, pending requests 1 

Processed request 1178, latency 21, pending requests 1 

Processed request 1205, latency 28, pending requests 1 

Processed request 1230, latency 27, pending requests 1 

Processed request 1248, latency 27, pending requests 0 

Processed request 1272, latency 23, pending requests 1 

Processed request 1288, latency 13, pending requests 0 

Processed request 1309, latency 33, pending requests 2 

Processed request 1327, latency 14, pending requests 0 

Processed request 1344, latency 40, pending requests 1 

Processed request 1357, latency 28, pending requests 1 

Processed request 1378, latency 40, pending requests 2 

Processed request 1399, latency 24, pending requests 0 

Processed request 1423, latency 14, pending requests 0 

Processed request 1439, latency 15, pending requests 0 

Processed request 1459, latency 34, pending requests 1 

Processed request 1471, latency 15, pending requests 0 

Processed request 1486, latency 27, pending requests 0 

Processed request 1510, latency 20, pending requests 1 

Processed request 1531, latency 39, pending requests 0 

Processed request 1544, latency 14, pending requests 0 

Processed request 1554, latency 15, pending requests 0 

Processed request 1579, latency 20, pending requests 0 

Processed request 1593, latency 46, pending requests 0 

Processed request 1611, latency 16, pending requests 0 

Processed request 1633, latency 14, pending requests 0 

Processed request 1658, latency 30, pending requests 0 

Processed request 1679, latency 21, pending requests 0 

Processed request 1700, latency 15, pending requests 0 

Processed request 1730, latency 42, pending requests 0 

Processed request 1750, latency 12, pending requests 0 

Processed request 1767, latency 13, pending requests 0 

Processed request 1788, latency 18, pending requests 0 

Processed request 1811, latency 16, pending requests 0 

Processed request 1828, latency 34, pending requests 0 

Processed request 1845, latency 33, pending requests 1 

Processed request 1863, latency 15, pending requests 0 

Processed request 1886, latency 15, pending requests 1 

Processed request 1906, latency 18, pending requests 0 

Processed request 1930, latency 13, pending requests 0 

Processed request 1950, latency 19, pending requests 0 

Processed request 1967, latency 13, pending requests 0 

Processed request 1984, latency 14, pending requests 0 

Processed request 2006, latency 28, pending requests 0 

Processed request 2021, latency 12, pending requests 0 

Processed request 2055, latency 19, pending requests 1 

Processed request 2071, latency 16, pending requests 0 

Processed request 2091, latency 32, pending requests 2 

Processed request 2112, latency 17, pending requests 1 

Processed request 2128, latency 16, pending requests 1 

Processed request 2147, latency 25, pending requests 0 

Processed request 2161, latency 30, pending requests 0 

Processed request 2180, latency 14, pending requests 0 

Processed request 2200, latency 42, pending requests 0 

Processed request 2224, latency 13, pending requests 0 

Processed request 2241, latency 20, pending requests 1 

Processed request 2261, latency 25, pending requests 0 

Processed request 2281, latency 15, pending requests 0 

Processed request 2303, latency 34, pending requests 1 

Processed request 2334, latency 15, pending requests 1 

Processed request 2350, latency 17, pending requests 1 

Processed request 2372, latency 30, pending requests 1 

Processed request 2397, latency 37, pending requests 1 

Processed request 2416, latency 24, pending requests 1 

Processed request 2430, latency 24, pending requests 0 

Processed request 2451, latency 34, pending requests 1 

Processed request 2469, latency 35, pending requests 1 

Processed request 2492, latency 35, pending requests 2 

