Round: 1 -- workload: SimulationWorkspace/workloads/workload-low.json
###############################################
############   Run Forrest Run!!   ############
###############################################
Start Time: 17:52:06.798710 - 26/08/2026
Processed request 1, latency 26, pending requests 0 

Processed request 7, latency 26, pending requests 0 

Processed request 12, latency 15, pending requests 0 

Processed request 18, latency 33, pending requests 0 

Processed request 22, latency 29, pending requests 0 

Processed request 24, latency 14, pending requests 0 

Processed request 30, latency 18, pending requests 0 

Processed request 34, latency 14, pending requests 0 

Processed request 40, latency 18, pending requests 0 

Processed request 46, latency 13, pending requests 0 

Processed request 54, latency 28, pending requests 0 

Processed request 56, latency 20, pending requests 0 

Processed request 65, latency 42, pending requests 1 

Processed request 71, latency 17, pending requests 0 

Processed request 77, latency 14, pending requests 0 

Processed request 84, latency 40, pending requests 0 

Processed request 88, latency 36, pending requests 0 

Processed request 91, latency 23, pending requests 0 

Processed request 96, latency 13, pending requests 0 

Processed request 100, latency 15, pending requests 1 

Processed request 104, latency 29, pending requests 0 

Processed request 109, latency 15, pending requests 0 

Processed request 114, latency 24, pending requests 0 

Processed request 120, latency 135, pending requests 0 

Processed request 125, latency 25, pending requests 1 

Processed request 132, latency 18, pending requests 0 

Processed request 138, latency 32, pending requests 0 

Processed request 144, latency 18, pending requests 0 

Processed request 147, latency 17, pending requests 0 

Processed request 155, latency 19, pending requests 0 

Processed request 159, latency 15, pending requests 0 

Processed request 166, latency 32, pending requests 1 

Processed request 170, latency 24, pending requests 0 

Processed request 175, latency 31, pending requests 1 

Processed request 181, latency 16, pending requests 0 

Processed request 191, latency 12, pending requests 0 

Processed request 193, latency 23, pending requests 0 

Processed request 199, latency 13, pending requests 0 

Processed request 205, latency 22, pending requests 0 

Processed request 215, latency 15, pending requests 0 

Processed request 220, latency 31, pending requests 0 

Processed request 222, latency 14, pending requests 0 

Processed request 230, latency 24, pending requests 0 

Processed request 238, latency 14, pending requests 0 

Processed request 244, latency 20, pending requests 0 

Processed request 249, latency 22, pending requests 0 

Processed request 255, latency 70, pending requests 0 

Processed request 261, latency 15, pending requests 0 

Processed request 268, latency 39, pending requests 0 

Processed request 278, latency 13, pending requests 0 

Processed request 285, latency 16, pending requests 0 

Processed request 293, latency 13, pending requests 0 

Processed request 298, latency 15, pending requests 0 

Processed request 303, latency 18, pending requests 1 

Processed request 308, latency 42, pending requests 0 

Processed request 311, latency 47, pending requests 0 

Processed request 321, latency 16, pending requests 0 

Processed request 327, latency 13, pending requests 0 

Processed request 330, latency 14, pending requests 0 

Processed request 338, latency 32, pending requests 0 

Processed request 343, latency 13, pending requests 0 

Processed request 347, latency 19, pending requests 0 

Processed request 354, latency 20, pending requests 0 

Processed request 364, latency 32, pending requests 0 

Processed request 371, latency 17, pending requests 0 

Processed request 380, latency 29, pending requests 0 

Processed request 384, latency 14, pending requests 0 

Processed request 396, latency 15, pending requests 1 

Processed request 401, latency 19, pending requests 0 

Processed request 405, latency 34, pending requests 0 

Processed request 410, latency 13, pending requests 0 

Processed request 416, latency 26, pending requests 0 

Processed request 421, latency 16, pending requests 1 

Processed request 427, latency 15, pending requests 0 

Processed request 433, latency 32, pending requests 0 

Processed request 441, latency 21, pending requests 0 

Processed request 447, latency 13, pending requests 1 

Processed request 453, latency 37, pending requests 0 

Processed request 459, latency 15, pending requests 0 

Processed request 465, latency 34, pending requests 0 

Processed request 474, latency 21, pending requests 0 

Processed request 477, latency 27, pending requests 1 

Processed request 479, latency 35, pending requests 0 

Processed request 488, latency 33, pending requests 0 

Processed request 498, latency 15, pending requests 0 

Processed request 502, latency 13, pending requests 0 

Processed request 505, latency 36, pending requests 0 

Processed request 513, latency 35, pending requests 0 

Processed request 516, latency 33, pending requests 0 

Processed request 524, latency 41, pending requests 0 

Processed request 528, latency 14, pending requests 0 

Processed request 536, latency 27, pending requests 0 

Processed request 541, latency 19, pending requests 0 

Processed request 548, latency 13, pending requests 0 

Processed request 559, latency 35, pending requests 0 

Processed request 564, latency 19, pending requests 0 

Processed request 569, latency 31, pending requests 0 

Processed request 572, latency 26, pending requests 0 

Processed request 578, latency 14, pending requests 1 

Processed request 584, latency 17, pending requests 0 

Processed request 589, latency 14, pending requests 0 
