Round: 1 -- workload: SimulationWorkspace/workloads/workload-mid.json
###############################################
############   Run Forrest Run!!   ############
###############################################
Start Time: 12:11:22.751643 - 26/08/2026
Processed request 1, latency 20, pending requests 0 

Processed request 22, latency 33, pending requests 1 

Processed request 39, latency 13, pending requests 0 

Processed request 58, latency 36, pending requests 0 

Processed request 74, latency 26, pending requests 1 

Processed request 90, latency 15, pending requests 1 

Processed request 111, latency 18, pending requests 0 

Processed request 133, latency 21, pending requests 0 

Processed request 153, latency 34, pending requests 2 

Processed request 171, latency 31, pending requests 0 

Processed request 195, latency 13, pending requests 0 

Processed request 214, latency 31, pending requests 0 

Processed request 224, latency 14, pending requests 0 

Processed request 241, latency 33, pending requests 0 

Processed request 257, latency 24, pending requests 0 

Processed request 277, latency 19, pending requests 0 

Processed request 297, latency 32, pending requests 0 

Processed request 318, latency 32, pending requests 1 

Processed request 348, latency 19, pending requests 1 

Processed request 371, latency 36, pending requests 1 

Processed request 388, latency 13, pending requests 0 

Processed request 408, latency 36, pending requests 1 

Processed request 425, latency 20, pending requests 0 

Processed request 446, latency 21, pending requests 0 

Processed request 465, latency 13, pending requests 0 

Processed request 490, latency 33, pending requests 0 

Processed request 511, latency 42, pending requests 0 

Processed request 528, latency 18, pending requests 0 

Processed request 546, latency 18, pending requests 2 

Processed request 568, latency 25, pending requests 2 

Processed request 589, latency 18, pending requests 1 

Processed request 600, latency 13, pending requests 0 

Processed request 618, latency 14, pending requests 0 

Processed request 647, latency 17, pending requests 0 

Processed request 661, latency 16, pending requests 1 

Processed request 682, latency 11, pending requests 0 

Processed request 702, latency 22, pending requests 3 

Processed request 724, latency 12, pending requests 0 

Processed request 751, latency 17, pending requests 0 

Processed request 765, latency 15, pending requests 0 

Processed request 781, latency 29, pending requests 2 

Processed request 805, latency 12, pending requests 0 

Processed request 829, latency 14, pending requests 0 

Processed request 851, latency 23, pending requests 0 

Processed request 871, latency 15, pending requests 1 

Processed request 871, latency 17, pending requests 0 

Processed request 891, latency 15, pending requests 1 

Processed request 904, latency 16, pending requests 1 

Processed request 922, latency 14, pending requests 0 

Processed request 946, latency 38, pending requests 1 

Processed request 962, latency 14, pending requests 1 

Processed request 981, latency 13, pending requests 0 

Processed request 1001, latency 13, pending requests 1 

Processed request 1026, latency 12, pending requests 0 

Processed request 1046, latency 16, pending requests 0 

Processed request 1064, latency 16, pending requests 0 

Processed request 1087, latency 19, pending requests 0 

Processed request 1110, latency 14, pending requests 0 

Processed request 1138, latency 13, pending requests 0 

Processed request 1161, latency 22, pending requests 1 

Processed request 1177, latency 15, pending requests 0 

Processed request 1204, latency 13, pending requests 1 

Processed request 1230, latency 36, pending requests 1 

Processed request 1248, latency 30, pending requests 0 

Processed request 1272, latency 16, pending requests 1 

Processed request 1288, latency 14, pending requests 0 

Processed request 1309, latency 24, pending requests 2 

Processed request 1327, latency 25, pending requests 0 

Processed request 1343, latency 18, pending requests 0 

Processed request 1357, latency 22, pending requests 1 

Processed request 1357, latency 17, pending requests 0 

Processed request 1377, latency 18, pending requests 1 

Processed request 1399, latency 16, pending requests 0 

Processed request 1423, latency 14, pending requests 0 

Processed request 1439, latency 14, pending requests 0 

Processed request 1459, latency 16, pending requests 1 

Processed request 1471, latency 18, pending requests 0 

Processed request 1486, latency 23, pending requests 0 

Processed request 1510, latency 28, pending requests 1 

Processed request 1531, latency 21, pending requests 0 

Processed request 1544, latency 29, pending requests 0 

Processed request 1554, latency 13, pending requests 0 

Processed request 1579, latency 38, pending requests 0 

Processed request 1593, latency 32, pending requests 0 

Processed request 1611, latency 19, pending requests 0 

Processed request 1634, latency 18, pending requests 1 

Processed request 1658, latency 32, pending requests 0 

Processed request 1679, latency 19, pending requests 0 

Processed request 1701, latency 30, pending requests 1 

Processed request 1730, latency 14, pending requests 0 

Processed request 1750, latency 12, pending requests 0 

Processed request 1767, latency 13, pending requests 0 

Processed request 1789, latency 15, pending requests 1 

Processed request 1812, latency 39, pending requests 0 

Processed request 1832, latency 34, pending requests 1 

Processed request 1849, latency 23, pending requests 0 

Processed request 1865, latency 16, pending requests 0 

Processed request 1891, latency 33, pending requests 1 

Processed request 1912, latency 54, pending requests 5 

Processed request 1934, latency 17, pending requests 0 

Processed request 1950, latency 16, pending requests 0 

Processed request 1967, latency 12, pending requests 0 

Processed request 1984, latency 13, pending requests 0 

Processed request 2006, latency 34, pending requests 0 

Processed request 2021, latency 16, pending requests 0 

Processed request 2055, latency 61, pending requests 1 

Processed request 2071, latency 13, pending requests 0 

Processed request 2090, latency 16, pending requests 1 

Processed request 2112, latency 21, pending requests 1 

Processed request 2128, latency 16, pending requests 1 

Processed request 2147, latency 20, pending requests 0 

Processed request 2161, latency 13, pending requests 0 

Processed request 2180, latency 29, pending requests 0 

Processed request 2200, latency 35, pending requests 0 

Processed request 2224, latency 13, pending requests 0 

Processed request 2241, latency 16, pending requests 1 

Processed request 2261, latency 14, pending requests 0 

Processed request 2281, latency 16, pending requests 0 

Processed request 2303, latency 22, pending requests 1 

Processed request 2334, latency 18, pending requests 1 

Processed request 2351, latency 28, pending requests 2 

Processed request 2372, latency 32, pending requests 1 

Processed request 2397, latency 13, pending requests 2 

Processed request 2416, latency 15, pending requests 0 

