timestamp,pod,cpu_m,mem_mi
1788205025,gw-nginx-554c75559c-97p9m,23,8
1788205025,s0-7858bb7b56-4c22f,459,156
1788205025,s1-7d66c7d4c5-97jlk,416,156
1788205025,s2-5f46b67bc6-pswkd,773,140
1788205025,s3-79b96b87f7-8n5lq,261,145
1788205030,gw-nginx-554c75559c-97p9m,23,8
1788205030,s0-7858bb7b56-4c22f,459,156
1788205030,s1-7d66c7d4c5-97jlk,416,156
1788205030,s2-5f46b67bc6-pswkd,773,140
1788205030,s3-79b96b87f7-8n5lq,261,145
1788205035,gw-nginx-554c75559c-97p9m,23,8
1788205035,s0-7858bb7b56-4c22f,459,156
1788205035,s1-7d66c7d4c5-97jlk,416,156
1788205035,s2-5f46b67bc6-pswkd,773,140
1788205035,s3-79b96b87f7-8n5lq,261,145
1788205040,gw-nginx-554c75559c-97p9m,15,8
1788205040,s0-7858bb7b56-4c22f,224,155
1788205040,s1-7d66c7d4c5-97jlk,325,156
1788205040,s2-5f46b67bc6-pswkd,565,140
1788205040,s3-79b96b87f7-8n5lq,115,145
1788205045,gw-nginx-554c75559c-97p9m,15,8
1788205045,s0-7858bb7b56-4c22f,224,155
1788205045,s1-7d66c7d4c5-97jlk,325,156
1788205045,s2-5f46b67bc6-pswkd,565,140
1788205045,s3-79b96b87f7-8n5lq,115,145
1788205050,gw-nginx-554c75559c-97p9m,15,8
1788205050,s0-7858bb7b56-4c22f,224,155
1788205050,s1-7d66c7d4c5-97jlk,325,156
1788205050,s2-5f46b67bc6-pswkd,565,140
1788205050,s3-79b96b87f7-8n5lq,115,145
1788205055,gw-nginx-554c75559c-97p9m,4,7
1788205055,s0-7858bb7b56-4c22f,116,156
1788205055,s1-7d66c7d4c5-97jlk,110,156
1788205055,s2-5f46b67bc6-pswkd,90,139
1788205055,s3-79b96b87f7-8n5lq,19,145
1788205060,gw-nginx-554c75559c-97p9m,4,7
1788205060,s0-7858bb7b56-4c22f,116,156
1788205060,s1-7d66c7d4c5-97jlk,110,156
1788205060,s2-5f46b67bc6-pswkd,90,139
1788205060,s3-79b96b87f7-8n5lq,19,145
1788205065,gw-nginx-554c75559c-97p9m,4,7
1788205065,s0-7858bb7b56-4c22f,116,156
