timestamp,pod,cpu_m,mem_mi
1788204661,gw-nginx-554c75559c-97p9m,9,7
1788204661,s0-7858bb7b56-4c22f,137,144
1788204661,s1-7d66c7d4c5-97jlk,111,144
1788204661,s2-5f46b67bc6-pswkd,149,125
1788204661,s3-79b96b87f7-8n5lq,61,139
1788204666,gw-nginx-554c75559c-97p9m,9,7
1788204666,s0-7858bb7b56-4c22f,136,144
1788204666,s1-7d66c7d4c5-97jlk,112,144
1788204666,s2-5f46b67bc6-pswkd,169,125
1788204666,s3-79b96b87f7-8n5lq,58,139
1788204671,gw-nginx-554c75559c-97p9m,9,7
1788204671,s0-7858bb7b56-4c22f,136,144
1788204671,s1-7d66c7d4c5-97jlk,112,144
1788204671,s2-5f46b67bc6-pswkd,169,125
1788204671,s3-79b96b87f7-8n5lq,58,139
1788204676,gw-nginx-554c75559c-97p9m,9,7
1788204676,s0-7858bb7b56-4c22f,136,144
1788204676,s1-7d66c7d4c5-97jlk,112,144
1788204676,s2-5f46b67bc6-pswkd,169,125
1788204676,s3-79b96b87f7-8n5lq,58,139
1788204681,gw-nginx-554c75559c-97p9m,8,8
1788204681,s0-7858bb7b56-4c22f,141,144
1788204681,s1-7d66c7d4c5-97jlk,137,144
1788204681,s2-5f46b67bc6-pswkd,333,126
1788204681,s3-79b96b87f7-8n5lq,91,139
1788204686,gw-nginx-554c75559c-97p9m,8,8
1788204686,s0-7858bb7b56-4c22f,141,144
1788204686,s1-7d66c7d4c5-97jlk,137,144
1788204686,s2-5f46b67bc6-pswkd,333,126
1788204686,s3-79b96b87f7-8n5lq,91,139
1788204691,gw-nginx-554c75559c-97p9m,8,8
1788204691,s0-7858bb7b56-4c22f,141,144
1788204691,s1-7d66c7d4c5-97jlk,137,144
1788204691,s2-5f46b67bc6-pswkd,333,126
1788204691,s3-79b96b87f7-8n5lq,91,139
1788204696,gw-nginx-554c75559c-97p9m,20,9
1788204696,s0-7858bb7b56-4c22f,359,148
1788204696,s1-7d66c7d4c5-97jlk,294,147
1788204696,s2-5f46b67bc6-pswkd,550,129
1788204696,s3-79b96b87f7-8n5lq,203,140
1788204702,gw-nginx-554c75559c-97p9m,20,9
1788204702,s0-7858bb7b56-4c22f,359,148
1788204702,s1-7d66c7d4c5-97jlk,294,147
1788204702,s2-5f46b67bc6-pswkd,550,129
1788204702,s3-79b96b87f7-8n5lq,203,140
1788204707,gw-nginx-554c75559c-97p9m,20,9
1788204707,s0-7858bb7b56-4c22f,359,148
1788204707,s1-7d66c7d4c5-97jlk,294,147
1788204707,s2-5f46b67bc6-pswkd,550,129
1788204707,s3-79b96b87f7-8n5lq,203,140
1788204712,gw-nginx-554c75559c-97p9m,20,9
1788204712,s0-7858bb7b56-4c22f,435,149
1788204712,s1-7d66c7d4c5-97jlk,374,148
1788204712,s2-5f46b67bc6-pswkd,798,133
1788204712,s3-79b96b87f7-8n5lq,262,140
1788204717,gw-nginx-554c75559c-97p9m,20,9
1788204717,s0-7858bb7b56-4c22f,435,149
1788204717,s1-7d66c7d4c5-97jlk,374,148
1788204717,s2-5f46b67bc6-pswkd,798,133
1788204717,s3-79b96b87f7-8n5lq,262,140
1788204722,gw-nginx-554c75559c-97p9m,20,9
1788204722,s0-7858bb7b56-4c22f,435,149
1788204722,s1-7d66c7d4c5-97jlk,374,148
1788204722,s2-5f46b67bc6-pswkd,798,133
1788204722,s3-79b96b87f7-8n5lq,262,140
1788204727,gw-nginx-554c75559c-97p9m,23,8
1788204727,s0-7858bb7b56-4c22f,431,150
1788204727,s1-7d66c7d4c5-97jlk,385,148
1788204727,s2-5f46b67bc6-pswkd,800,134
1788204727,s3-79b96b87f7-8n5lq,251,141
1788204732,gw-nginx-554c75559c-97p9m,23,8
1788204732,s0-7858bb7b56-4c22f,431,150
1788204732,s1-7d66c7d4c5-97jlk,385,148
1788204732,s2-5f46b67bc6-pswkd,800,134
1788204732,s3-79b96b87f7-8n5lq,251,141
1788204737,gw-nginx-554c75559c-97p9m,23,8
1788204737,s0-7858bb7b56-4c22f,431,150
1788204737,s1-7d66c7d4c5-97jlk,385,148
1788204737,s2-5f46b67bc6-pswkd,800,134
1788204737,s3-79b96b87f7-8n5lq,251,141
1788204742,gw-nginx-554c75559c-97p9m,25,8
1788204742,s0-7858bb7b56-4c22f,477,150
1788204742,s1-7d66c7d4c5-97jlk,437,150
1788204742,s2-5f46b67bc6-pswkd,792,134
1788204742,s3-79b96b87f7-8n5lq,290,141
1788204747,gw-nginx-554c75559c-97p9m,25,8
1788204747,s0-7858bb7b56-4c22f,477,150
1788204747,s1-7d66c7d4c5-97jlk,437,150
1788204747,s2-5f46b67bc6-pswkd,792,134
1788204747,s3-79b96b87f7-8n5lq,290,141
1788204752,gw-nginx-554c75559c-97p9m,25,8
1788204752,s0-7858bb7b56-4c22f,477,150
1788204752,s1-7d66c7d4c5-97jlk,437,150
1788204752,s2-5f46b67bc6-pswkd,792,134
1788204752,s3-79b96b87f7-8n5lq,290,141
1788204757,gw-nginx-554c75559c-97p9m,23,8
1788204757,s0-7858bb7b56-4c22f,444,150
1788204757,s1-7d66c7d4c5-97jlk,398,150
1788204757,s2-5f46b67bc6-pswkd,799,136
1788204757,s3-79b96b87f7-8n5lq,277,141
