timestamp,pod,cpu_m,mem_mi
1788202058,gw-nginx-554c75559c-97p9m,0,6
1788202058,s0-7858bb7b56-4c22f,3,106
1788202058,s1-7d66c7d4c5-97jlk,3,110
1788202058,s2-5f46b67bc6-pswkd,3,109
1788202058,s3-79b96b87f7-8n5lq,3,105
1788202063,gw-nginx-554c75559c-97p9m,0,6
1788202063,s0-7858bb7b56-4c22f,3,106
1788202063,s1-7d66c7d4c5-97jlk,3,110
1788202063,s2-5f46b67bc6-pswkd,3,109
1788202063,s3-79b96b87f7-8n5lq,3,105
1788202068,gw-nginx-554c75559c-97p9m,1,6
1788202068,s0-7858bb7b56-4c22f,3,106
1788202068,s1-7d66c7d4c5-97jlk,11,115
1788202068,s2-5f46b67bc6-pswkd,9,113
1788202068,s3-79b96b87f7-8n5lq,8,108
1788202073,gw-nginx-554c75559c-97p9m,1,6
1788202073,s0-7858bb7b56-4c22f,3,106
1788202073,s1-7d66c7d4c5-97jlk,11,115
1788202073,s2-5f46b67bc6-pswkd,9,113
1788202073,s3-79b96b87f7-8n5lq,8,108
1788202078,gw-nginx-554c75559c-97p9m,1,6
1788202078,s0-7858bb7b56-4c22f,3,106
1788202078,s1-7d66c7d4c5-97jlk,11,115
1788202078,s2-5f46b67bc6-pswkd,9,113
1788202078,s3-79b96b87f7-8n5lq,8,108
1788202084,gw-nginx-554c75559c-97p9m,3,6
1788202084,s0-7858bb7b56-4c22f,38,115
1788202084,s1-7d66c7d4c5-97jlk,38,115
1788202084,s2-5f46b67bc6-pswkd,60,114
1788202084,s3-79b96b87f7-8n5lq,23,111
1788202089,gw-nginx-554c75559c-97p9m,3,6
1788202089,s0-7858bb7b56-4c22f,38,115
1788202089,s1-7d66c7d4c5-97jlk,38,115
1788202089,s2-5f46b67bc6-pswkd,60,114
1788202089,s3-79b96b87f7-8n5lq,23,111
1788202094,gw-nginx-554c75559c-97p9m,3,6
1788202094,s0-7858bb7b56-4c22f,38,115
1788202094,s1-7d66c7d4c5-97jlk,38,115
1788202094,s2-5f46b67bc6-pswkd,60,114
1788202094,s3-79b96b87f7-8n5lq,23,111
1788202099,gw-nginx-554c75559c-97p9m,2,7
1788202099,s0-7858bb7b56-4c22f,34,116
1788202099,s1-7d66c7d4c5-97jlk,29,116
1788202099,s2-5f46b67bc6-pswkd,33,114
1788202099,s3-79b96b87f7-8n5lq,17,112
1788202104,gw-nginx-554c75559c-97p9m,2,7
1788202104,s0-7858bb7b56-4c22f,34,116
1788202104,s1-7d66c7d4c5-97jlk,29,116
1788202104,s2-5f46b67bc6-pswkd,33,114
1788202104,s3-79b96b87f7-8n5lq,17,112
1788202109,gw-nginx-554c75559c-97p9m,2,7
1788202109,s0-7858bb7b56-4c22f,34,116
1788202109,s1-7d66c7d4c5-97jlk,29,116
1788202109,s2-5f46b67bc6-pswkd,33,114
1788202109,s3-79b96b87f7-8n5lq,17,112
1788202114,gw-nginx-554c75559c-97p9m,3,7
1788202114,s0-7858bb7b56-4c22f,39,117
1788202114,s1-7d66c7d4c5-97jlk,30,117
1788202114,s2-5f46b67bc6-pswkd,45,114
1788202114,s3-79b96b87f7-8n5lq,18,113
1788202119,gw-nginx-554c75559c-97p9m,3,7
1788202119,s0-7858bb7b56-4c22f,39,117
1788202119,s1-7d66c7d4c5-97jlk,30,117
1788202119,s2-5f46b67bc6-pswkd,45,114
1788202119,s3-79b96b87f7-8n5lq,18,113
1788202124,gw-nginx-554c75559c-97p9m,3,7
1788202124,s0-7858bb7b56-4c22f,39,117
1788202124,s1-7d66c7d4c5-97jlk,30,117
1788202124,s2-5f46b67bc6-pswkd,45,114
1788202124,s3-79b96b87f7-8n5lq,18,113
1788202129,gw-nginx-554c75559c-97p9m,3,7
1788202129,s0-7858bb7b56-4c22f,38,118
1788202129,s1-7d66c7d4c5-97jlk,33,118
1788202129,s2-5f46b67bc6-pswkd,66,115
1788202129,s3-79b96b87f7-8n5lq,17,113
1788202134,gw-nginx-554c75559c-97p9m,3,7
1788202134,s0-7858bb7b56-4c22f,38,118
1788202134,s1-7d66c7d4c5-97jlk,33,118
1788202134,s2-5f46b67bc6-pswkd,66,115
1788202134,s3-79b96b87f7-8n5lq,17,113
1788202139,gw-nginx-554c75559c-97p9m,3,7
1788202139,s0-7858bb7b56-4c22f,38,118
1788202139,s1-7d66c7d4c5-97jlk,33,118
1788202139,s2-5f46b67bc6-pswkd,66,115
1788202139,s3-79b96b87f7-8n5lq,17,113
1788202144,gw-nginx-554c75559c-97p9m,3,7
1788202144,s0-7858bb7b56-4c22f,39,119
1788202144,s1-7d66c7d4c5-97jlk,33,118
1788202144,s2-5f46b67bc6-pswkd,57,115
1788202144,s3-79b96b87f7-8n5lq,19,114
1788202149,gw-nginx-554c75559c-97p9m,3,7
