timestamp,pod,cpu_m,mem_mi
1788203877,gw-nginx-554c75559c-97p9m,3,7
1788203877,s0-7858bb7b56-4c22f,40,138
1788203877,s1-7d66c7d4c5-97jlk,30,137
1788203877,s2-5f46b67bc6-pswkd,42,119
1788203877,s3-79b96b87f7-8n5lq,18,132
1788203882,gw-nginx-554c75559c-97p9m,3,7
1788203882,s0-7858bb7b56-4c22f,40,138
1788203882,s1-7d66c7d4c5-97jlk,30,137
1788203882,s2-5f46b67bc6-pswkd,42,119
1788203882,s3-79b96b87f7-8n5lq,18,132
1788203887,gw-nginx-554c75559c-97p9m,3,7
1788203887,s0-7858bb7b56-4c22f,35,138
1788203887,s1-7d66c7d4c5-97jlk,32,137
1788203887,s2-5f46b67bc6-pswkd,37,119
1788203887,s3-79b96b87f7-8n5lq,19,132
1788203892,gw-nginx-554c75559c-97p9m,3,7
1788203892,s0-7858bb7b56-4c22f,35,138
1788203892,s1-7d66c7d4c5-97jlk,32,137
1788203892,s2-5f46b67bc6-pswkd,37,119
1788203892,s3-79b96b87f7-8n5lq,19,132
1788203897,gw-nginx-554c75559c-97p9m,3,7
1788203897,s0-7858bb7b56-4c22f,35,138
1788203897,s1-7d66c7d4c5-97jlk,32,137
1788203897,s2-5f46b67bc6-pswkd,37,119
1788203897,s3-79b96b87f7-8n5lq,19,132
1788203902,gw-nginx-554c75559c-97p9m,4,7
1788203902,s0-7858bb7b56-4c22f,88,138
1788203902,s1-7d66c7d4c5-97jlk,74,138
1788203902,s2-5f46b67bc6-pswkd,165,120
1788203902,s3-79b96b87f7-8n5lq,42,132
1788203907,gw-nginx-554c75559c-97p9m,4,7
1788203907,s0-7858bb7b56-4c22f,88,138
1788203907,s1-7d66c7d4c5-97jlk,74,138
1788203907,s2-5f46b67bc6-pswkd,165,120
1788203907,s3-79b96b87f7-8n5lq,42,132
1788203912,gw-nginx-554c75559c-97p9m,4,7
1788203912,s0-7858bb7b56-4c22f,88,138
1788203912,s1-7d66c7d4c5-97jlk,74,138
1788203912,s2-5f46b67bc6-pswkd,165,120
1788203912,s3-79b96b87f7-8n5lq,42,132
1788203917,gw-nginx-554c75559c-97p9m,8,7
1788203917,s0-7858bb7b56-4c22f,125,138
1788203917,s1-7d66c7d4c5-97jlk,74,138
1788203917,s2-5f46b67bc6-pswkd,165,120
1788203917,s3-79b96b87f7-8n5lq,56,132
1788203922,gw-nginx-554c75559c-97p9m,8,7
1788203922,s0-7858bb7b56-4c22f,125,138
1788203922,s1-7d66c7d4c5-97jlk,74,138
1788203922,s2-5f46b67bc6-pswkd,165,120
1788203922,s3-79b96b87f7-8n5lq,56,132
1788203928,gw-nginx-554c75559c-97p9m,8,7
1788203928,s0-7858bb7b56-4c22f,125,138
1788203928,s1-7d66c7d4c5-97jlk,74,138
1788203928,s2-5f46b67bc6-pswkd,165,120
1788203928,s3-79b96b87f7-8n5lq,56,132
1788203933,gw-nginx-554c75559c-97p9m,8,7
1788203933,s0-7858bb7b56-4c22f,126,139
1788203933,s1-7d66c7d4c5-97jlk,106,138
1788203933,s2-5f46b67bc6-pswkd,211,121
1788203933,s3-79b96b87f7-8n5lq,56,132
1788203938,gw-nginx-554c75559c-97p9m,8,7
1788203938,s0-7858bb7b56-4c22f,126,139
1788203938,s1-7d66c7d4c5-97jlk,106,138
1788203938,s2-5f46b67bc6-pswkd,211,121
1788203938,s3-79b96b87f7-8n5lq,56,132
1788203943,gw-nginx-554c75559c-97p9m,8,7
1788203943,s0-7858bb7b56-4c22f,126,139
1788203943,s1-7d66c7d4c5-97jlk,106,138
1788203943,s2-5f46b67bc6-pswkd,211,121
1788203943,s3-79b96b87f7-8n5lq,56,132
1788203948,gw-nginx-554c75559c-97p9m,8,7
1788203948,s0-7858bb7b56-4c22f,121,138
1788203948,s1-7d66c7d4c5-97jlk,101,139
1788203948,s2-5f46b67bc6-pswkd,161,120
1788203948,s3-79b96b87f7-8n5lq,56,132
1788203953,gw-nginx-554c75559c-97p9m,8,7
1788203953,s0-7858bb7b56-4c22f,121,138
1788203953,s1-7d66c7d4c5-97jlk,101,139
1788203953,s2-5f46b67bc6-pswkd,161,120
1788203953,s3-79b96b87f7-8n5lq,56,132
1788203958,gw-nginx-554c75559c-97p9m,8,7
1788203958,s0-7858bb7b56-4c22f,121,138
1788203958,s1-7d66c7d4c5-97jlk,101,139
